query,response,response_time,response_length,has_response,not_found_response
What is the deadline for course registration?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 26** — 4.5 BEFORE/AFTER SCHOOL TIME Students may arrive at STEM as early as 7:30 am, but must report and remain in their assigned, supervised area until 8:00 am.
- **2023-2024 Student Handbook.pdf — page 26** — Between 8:00 am and 8:15 am, students will report directly to their 1st period classroom.
- **2023-2024 Student Handbook.pdf — page 23** — Students will be in class by 8:15 am each day.

Need anything else from the handbook or policy guides?",2.209806203842163,542,True,False
How do I drop a course?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 18** — The student’s family will be required to pay STEM for the CCP course if it is dropped after the college “drop date” or if a passing grade is not earned.
- **2023-2024 Student Handbook.pdf — page 18** — Students who fail a first semester CCP course that is required for graduation from STEM will be placed in a regular high school course for the 2nd semester.
- **2023-2024 Student Handbook.pdf — page 18** — In the junior and senior years of high school students may select courses in a particular pathway to continue their development in that career field.

Need anything else from the handbook or policy guides?",0.07201290130615234,710,True,False
What are the library hours?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 26** — Between 8:00 am and 8:15 am, students will report directly to their 1st period classroom.
- **2023-2024 Student Handbook.pdf — page 23** — Students will be in class by 8:15 am each day.
- **2023-2024 Student Handbook.pdf — page 7** — Any student who enters school prior to 8:15 am or stays after 3:15 pm must remain in assigned areas.

Need anything else from the handbook or policy guides?",0.17964935302734375,487,True,False
When do classes start?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 23** — Students will be in class by 8:15 am each day.
- **2023-2024 Student Handbook.pdf — page 7** — Each day, students attend classes for eight periods.
- **2023-2024 Student Handbook.pdf — page 7** — Student’s individual schedules will be provided at the beginning of the school year.

Need anything else from the handbook or policy guides?",0.21678495407104492,433,True,False
What is the refund policy?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 45** — Where there has been a policy violation, STEM will make every reasonable effort to stop any conduct in violation of these policies and prevent recurrence and will also take steps to remedy the effects of any violation.
- **2023-2024 Student Handbook.pdf — page 45** — Any appropriate remedial measures will be determined on a case- by-case, individualized basis.
- **2023-2024 Student Handbook.pdf — page 45** — If the Superintendent is the subject of the complaint or is not free of any conflicts of interest and biases for or against any party in the appeal, the Superintendent will be recused from the appeal and replaced by the Board President.

Need anything else from the handbook or policy guides?",0.15624761581420898,801,True,False
How do I apply for financial aid?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 9** — (2260) 1.6 STUDENTS WITH DISABILITIES The Americans with Disabilities Act (ADA) and Section 504 of the Rehabilitation Act prohibit discrimination against persons with a disability in any program receiving Federal financial assistance.
- **2023-2024 Student Handbook.pdf — page 9** — against persons with a disability in any program receiving Federal financial assistance.
- **2023-2024 Student Handbook.pdf — page 9** — A student can access special education and related services through the proper evaluation procedures.

Need anything else from the handbook or policy guides?",0.21901297569274902,673,True,False
What are the graduation requirements?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 17** — Students are required to complete 250 hours of work-based learning prior to graduation.
- **2023-2024 Student Handbook.pdf — page 16** — Unless exempted according to State of Ohio rules/laws, each student must pass all portions of the State-mandated assessment test required for graduation.
- **2023-2024 Student Handbook.pdf — page 18** — Students who fail a first semester CCP course that is required for graduation from STEM will be placed in a regular high school course for the 2nd semester.

Need anything else from the handbook or policy guides?",0.1626296043395996,649,True,False
How do I change my major?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 7** — Requests for a schedule change should be made through the School Counselor.
- **2023-2024 Student Handbook.pdf — page 18** — In the junior and senior years of high school students may select courses in a particular pathway to continue their development in that career field.

Need anything else from the handbook or policy guides?",0.15191030502319336,426,True,False
What is the attendance policy?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 23** — Attendance shall be required of all students enrolled in the school during the days and hours that the school is in session or during the attendance sessions to which students have been assigned.
- **2023-2024 Student Handbook.pdf — page 23** — 4.3 ATTENDANCE (ABSENCES AND TARDINESS) The educational program offered by STEM is predicated upon the presence of the student and requires continuity of instruction and classroom participation.
- **2023-2024 Student Handbook.pdf — page 8** — 1.4 COMPULSORY ATTENDANCE State law requires all children between the ages of 6 and 18 to attend school until the state mandated requirements have been met.

Need anything else from the handbook or policy guides?",0.17817354202270508,797,True,False
How do I access my transcript?,"Here's what I found in the academic documents:

- **2023-2024 Student Handbook.pdf — page 29** — Students can access their email by logging into https://portal.office.com.
- **2023-2024 Student Handbook.pdf — page 29** — Students can track the status of their support ticket by clicking the ""Sign In"" button in the upper right and selecting ""Log in with DRSS Account."" The support portal also answers frequently asked ""how do I…"" questions.
- **2023-2024 Student Handbook.pdf — page 29** — Students can access email, calendar, OneDrive, Office products, and more.

Need anything else from the handbook or policy guides?",0.21819043159484863,619,True,False
